[SAFE]http://127.0.0.1:5000/safe/1/[vulnerable==False];[INJECT]http://127.0.0.1:5000/safe/1/[vulnerable==False];[SAFE]http://127.0.0.1:5000/vulnerable/1/[vulnerable==True];[INJECT]http://127.0.0.1:5000/vulnerable/1/[vulnerable==True]
1.4953280909976456;3.2526484690024517;1.9252580640022643;18.357226018008078
1.6236626880127005;2.173102581000421;2.83669700298924;17.319607503013685
13.422028316999786;5.13227527399431;3.2949594899837393;16.173233329027425
1.9613032230117824;2.7943698599992786;1.2423087650095113;21.354117121984018
3.9263825259986334;3.703936669975519;1.9262749569898006;16.32821913200314
1.965409465978155;1.6820672820031177;2.5780099199910183;17.593490592000308
2.3279932720179204;1.3403710600105114;3.588771935988916;17.140577223006403
6.025590576988179;2.547071250999579;3.587574659002712;21.446186137996847
2.071430406998843;2.069047891010996;5.906834989989875;17.96492960298201
3.85736569299479;2.008703744999366;1.8413356100209057;19.715407090989174
